"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.941862136E0,3.817795368E-4,8.399149403E-3,-1.068982761E-3
6.960671823E0,-1.145338640E-3,1.664558798E-2,-7.177455351E-3
6.979481511E0,-8.399150101E-4,2.672456764E-2,-6.566607859E-3
6.998291198E0,-1.450762269E-3,3.955236077E-2,-9.620844387E-3
7.017100886E0,-3.894151188E-3,3.863608837E-2,-1.420219894E-2
7.035910573E0,-6.337540224E-3,2.092151903E-2,-1.725643501E-2
7.054720261E0,-6.642963737E-3,1.511846948E-2,-1.725643501E-2
7.073529948E0,-5.421269219E-3,1.817270555E-2,-1.206423342E-2
7.092339636E0,-4.810422193E-3,2.061609551E-2,-6.261184346E-3
7.111149323E0,-4.199574701E-3,1.695101149E-2,-2.596100792E-3
7.129959011E0,-5.726693198E-3,1.328592747E-2,-4.734066315E-3
7.148768698E0,-6.642963737E-3,6.872031838E-3,-9.315420873E-3
7.167578386E0,-6.948387716E-3,2.596100792E-3,-1.267508045E-2
7.186388073E0,-8.475505747E-3,4.123218823E-3,-1.298050396E-2
